Hochschule;Standort;Lehrveranstaltung;Semester;Studiengang;Kategorien
HS Esslingen;;Erkenntnistheoretische Grundlagen der Forschung in der Sozialen Arbeit;;B.A. Soziale Arbeit;"Forschungsmethoden (quantitativ); Forschungsmethoden (qualitativ); Soziale Arbeit"
HS Esslingen;;Computerspiele in der Sozialen Arbeit;;B.A. Soziale Arbeit;"Medienpädagogik; Soziale Arbeit"
HS Esslingen;;Digitalisierung in der Sozialen Arbeit;;B.A. Soziale Arbeit;"Medienpädagogik; Soziale Arbeit"
HFH Studienzentrum Stuttgart;;Allgemeine Psychologie 1;;B.Sc. Angewandte Psychologie;Psychologie
HFH Studienzentrum Stuttgart;;Allgemeine Psychologie 2;;B.Sc. Angewandte Psychologie;Psychologie
HFH Studienzentrum Stuttgart;;Wissenschaftliches Arbeiten;;B.Sc. Angewandte Psychologie;"Forschungsmethoden (quantitativ); Forschungsmethoden (qualitativ)"
DHBW Stuttgart;;Wissenschaftliches Arbeiten und Selbstmanagement;WiSe 2013/2014;B.A. Soziale Arbeit;"Forschungsmethoden (quantitativ); Forschungsmethoden (qualitativ)"
DHBW Stuttgart;;Wissenschaftliches Arbeiten und Selbstmanagement;WiSe 2014/2015;B.A. Soziale Arbeit;"Forschungsmethoden (quantitativ); Forschungsmethoden (qualitativ)"
DHBW Stuttgart;;Soziale Gruppenarbeit als Methode der Sozialen Arbeit;WiSe 2014;B.A. Soziale Arbeit;Soziale Arbeit
DHBW Stuttgart;;Soziale Gruppenarbeit als Methode der Sozialen Arbeit;SoSe 2015;B.A. Soziale Arbeit;Soziale Arbeit
DHBW Stuttgart;;Einführung in die Sozialinformatik;SoSe 2014;B.A. Soziale Arbeit;"Informatik; Soziale Arbeit"
DHBW Stuttgart;;Einführung in die Sozialinformatik;WiSe 2014/2015;B.A. Soziale Arbeit;"Informatik; Soziale Arbeit"
IB Hochschule Berlin;Stuttgart;Einführung in die qualitative Forschung;WiSe 2019;B.Sc. Angewandte Psychologie;Forschungsmethoden (qualitativ)
IB Hochschule Berlin;Stuttgart;Forschungsmethoden II;SoSe 2020;B.Sc. Angewandte Psychologie;Forschungsmethoden (qualitativ)
Akkon Hochschule Berlin;;Quantitative Forschungsmethoden in der Sozialen Arbeit;SoSe 2022;B.A. Soziale Arbeit;"Forschungsmethoden (quantitativ); Soziale Arbeit"
Akkon Hochschule Berlin;;Quantitative Forschungsmethoden in der Sozialen Arbeit;WiSe 2022/2023;B.A. Soziale Arbeit;"Forschungsmethoden (quantitativ); Soziale Arbeit"
Akkon Hochschule Berlin;;Psychologische Grundlagen der Sozialen Arbeit;WiSe 2023;B.A. Soziale Arbeit;"Psychologie; Soziale Arbeit"
Akkon Hochschule Berlin;;Psychologische Grundlagen der Sozialen Arbeit;SoSe 2023;B.A. Soziale Arbeit;"Psychologie; Soziale Arbeit"
Akkon Hochschule Berlin;;Psychologische Grundlagen der Sozialen Arbeit;WiSe 2024;B.A. Soziale Arbeit;"Psychologie; Soziale Arbeit"
TH Köln;;Onlineberatung und Barrierefreiheit;SoSe 2023;B.A. Soziale Arbeit;Beratung
